종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지
182480,7,TIGER 미국MSCI리츠(합성 H),12435,2,65,0.53,,16.1066,15436,192,659,기타,TIGER,False,False,True
371470,4,TIGER 차이나바이오테크SOLACTIVE,13280,2,185,1.41,,,263913,3477,659,해외 주식,TIGER,False,False,False
310960,1,TIGER 200TR,22615,2,185,0.82,22667.0,40.0561,1505,33,656,국내 시장지수,TIGER,False,False,False
277630,1,TIGER 코스피,31770,2,325,1.03,31888.0,36.9436,4759,150,651,국내 시장지수,TIGER,False,False,False
114820,6,TIGER 국채3년,111300,2,55,0.05,111305.0,0.2297,499,55,634,채권,TIGER,False,False,False
336160,6,KBSTAR 금융채액티브,103450,2,80,0.08,103420.0,0.5789,11,1,631,채권,KBSTAR,False,False,False
363580,2,KODEX 200IT TR,15300,2,125,0.82,15341.0,58.8173,6502,99,627,국내 업종/테마,KODEX,False,False,False
157490,2,TIGER 소프트웨어,16950,2,445,2.7,16975.0,25.561,227965,3832,627,국내 업종/테마,TIGER,False,False,False
326240,2,KBSTAR IT플러스,21925,2,230,1.06,21995.0,42.2622,182470,3983,627,국내 업종/테마,KBSTAR,False,False,False
219390,4,KBSTAR 미국S&P원유생산기업(합성 H),3005,3,0,0.0,,59.8404,223531,670,624,해외 주식,KBSTAR,False,False,True
329200,2,TIGER 부동산인프라고배당,4980,2,15,0.3,5006.0,6.8661,77959,387,618,국내 업종/테마,TIGER,False,False,False
289260,2,TIGER MSCI KOREA ESG리더스,12390,2,150,1.23,12402.0,41.5028,12131,149,610,국내 업종/테마,TIGER,False,False,False
243880,2,TIGER 200IT레버리지,75190,2,990,1.33,75796.0,147.3333,28875,2160,602,국내 업종/테마,TIGER,False,True,False
298770,4,KODEX 한국대만IT프리미어,20050,2,65,0.33,,42.2419,224856,4510,602,해외 주식,KODEX,False,False,False
266360,2,KODEX 미디어&엔터테인먼트,22170,2,480,2.21,22169.0,24.7268,51358,1126,599,국내 업종/테마,KODEX,False,False,False
